,Name,Dates,FG,FGA,FG3,FG3A,FG3Pct,FreeThrows,Free Throw Attempts,Free Throw Percent,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus Minus
0,Jonas Valanciunas,2012-10-31,6,15,0,0,0.0,0,0,0.0,6,4,10,0,0,1,0,4,12,8.4,-7
1,Jonas Valanciunas,2012-11-03,1,4,0,0,0.0,0,0,0.0,1,2,3,2,0,2,1,3,2,1.5,+1
2,Jonas Valanciunas,2012-11-04,2,8,0,0,0.0,0,0,0.0,3,1,4,2,0,1,1,3,4,1.5,+2
3,Jonas Valanciunas,2012-11-06,6,8,0,0,0.0,6,6,1.000,3,3,6,1,0,0,3,1,18,15.1,-9
4,Jonas Valanciunas,2012-11-07,2,4,0,0,0.0,0,0,0.0,2,0,2,0,0,0,2,5,4,-0.6,-13
5,Jonas Valanciunas,2012-11-10,3,6,0,0,0.0,2,2,1.000,3,5,8,1,0,1,0,2,8,9.2,-2
6,Jonas Valanciunas,2012-11-12,3,3,0,0,0.0,4,4,1.000,1,0,1,1,1,0,1,4,10,8.9,-1
7,Jonas Valanciunas,2012-11-13,4,8,0,0,0.0,1,2,.500,1,7,8,2,2,0,1,2,9,9.0,+4
8,Jonas Valanciunas,2012-11-17,1,4,0,0,0.0,1,1,1.000,0,2,2,0,0,0,2,6,3,-3.2,-7
9,Jonas Valanciunas,2012-11-18,2,5,0,0,0.0,2,6,.333,4,3,7,0,1,1,2,3,6,3.9,-1
10,Jonas Valanciunas,2012-11-20,3,6,0,0,0.0,5,6,.833,3,8,11,3,0,3,1,0,11,15.3,+7
11,Jonas Valanciunas,2012-11-21,8,11,0,0,0.0,0,0,0.0,2,8,10,2,0,1,1,6,16,14.0,+8
12,Jonas Valanciunas,2012-11-23,3,6,0,0,0.0,3,4,.750,2,4,6,1,0,2,2,4,9,6.7,-7
13,Jonas Valanciunas,2012-11-25,9,13,0,0,0.0,4,5,.800,0,7,7,3,0,3,3,4,22,17.8,-3
14,Jonas Valanciunas,2012-11-27,5,10,0,0,0.0,2,3,.667,2,3,5,1,0,1,2,0,12,8.3,-17
15,Jonas Valanciunas,2012-11-28,1,4,0,0,0.0,0,0,0.0,0,2,2,2,0,3,1,3,2,1.5,-12
16,Jonas Valanciunas,2012-11-30,4,8,0,0,0.0,0,0,0.0,3,3,6,1,0,1,1,1,8,7.0,-7
17,Jonas Valanciunas,2012-12-03,3,5,0,0,0.0,1,2,.500,2,2,4,1,2,3,0,4,7,9.5,-18
18,Jonas Valanciunas,2012-12-05,1,4,0,0,0.0,1,2,.500,2,1,3,0,0,1,1,3,3,0.4,-10
19,Jonas Valanciunas,2012-12-07,1,2,0,0,0.0,4,4,1.000,2,2,4,0,0,0,2,5,6,3.0,-24
20,Jonas Valanciunas,2012-12-09,0,2,0,0,0.0,1,2,.500,2,1,3,1,0,0,1,5,1,-1.4,+1
21,Jonas Valanciunas,2012-12-10,4,6,0,0,0.0,0,0,0.0,3,7,10,2,0,3,3,3,8,8.9,-14
22,Jonas Valanciunas,2012-12-12,6,6,0,0,0.0,3,5,.600,2,2,4,0,0,2,3,3,15,11.6,-8
23,Jonas Valanciunas,2012-12-14,0,3,0,0,0.0,1,4,.250,2,4,6,1,2,0,0,2,1,2.2,+2
24,Jonas Valanciunas,2012-12-16,1,2,0,0,0.0,0,0,0.0,0,2,2,1,0,2,1,0,2,2.7,+12
25,Jonas Valanciunas,2012-12-18,3,6,0,0,0.0,2,4,.500,0,7,7,1,1,0,0,1,8,7.6,-2
26,Jonas Valanciunas,2012-12-19,5,6,0,0,0.0,2,2,1.000,2,3,5,1,0,1,2,4,12,9.9,-3
27,Jonas Valanciunas,2012-12-21,0,0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0.7,-2
28,Jonas Valanciunas,2012-12-26,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
29,Jonas Valanciunas,2012-12-28,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
30,Jonas Valanciunas,2012-12-29,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
31,Jonas Valanciunas,2013-01-02,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
32,Jonas Valanciunas,2013-01-04,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
33,Jonas Valanciunas,2013-01-06,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
34,Jonas Valanciunas,2013-01-09,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
35,Jonas Valanciunas,2013-01-11,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
36,Jonas Valanciunas,2013-01-13,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
37,Jonas Valanciunas,2013-01-15,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp,dnp
