,Team Name,Season,Wins,Losses,Win Percent,Division Rank,SRS,Pace,Relative Pace,Offensive Rating,Relative Offensive Rating,Defensive Rating,Relative Defensive Rating,Playoff Result,Coaches,Top Win Shares
0,Toronto Raptors,2018-19,31,12,.721,1,4.93,99.1,-0.4,113.3,3.3,108.0,-2.0,None,N. Nurse (31-12),K. Leonard (5.6)
1,Toronto Raptors,2017-18,59,23,.720,1,7.29,97.4,0.1,113.8,5.2,105.9,-2.7,Lost E. Conf. Semis,D. Casey (59-23),K. Lowry (10.2)
2,Toronto Raptors,2016-17,51,31,.622,2,3.65,94.7,-1.7,112.3,3.5,107.8,-1.0,Lost E. Conf. Semis,D. Casey (51-31),K. Lowry (10.1)
3,Toronto Raptors,2015-16,56,26,.683,1,4.08,92.9,-2.9,110.0,3.6,105.2,-1.2,Lost E. Conf. Finals,D. Casey (56-26),K. Lowry (11.6)
4,Toronto Raptors,2014-15,49,33,.598,1,2.45,92.8,-1.1,111.0,5.4,107.7,2.1,Lost E. Conf. 1st Rnd.,D. Casey (49-33),J. Valanciunas (8.2)
5,Toronto Raptors,2013-14,48,34,.585,1,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4,Lost E. Conf. 1st Rnd.,D. Casey (48-34),K. Lowry (11.7)
6,Toronto Raptors,2012-13,34,48,.415,5,-1.96,90.4,-1.6,105.9,0.0,107.5,1.6,None,D. Casey (34-48),A. Johnson (7.3)
7,Toronto Raptors,2011-12,23,43,.348,4,-3.67,89.3,-2.0,100.8,-3.8,104.5,-0.1,None,D. Casey (23-43),J. Calderon (5.1)
8,Toronto Raptors,2010-11,22,60,.268,5,-6.28,92.9,0.8,106.1,-1.2,112.9,5.6,None,J. Triano (22-60),A. Johnson (5.6)
9,Toronto Raptors,2009-10,40,42,.488,2,-1.83,93.1,0.4,111.3,3.7,113.2,5.6,None,J. Triano (40-42),C. Bosh (9.6)
10,Toronto Raptors,2008-09,33,49,.402,4,-2.54,92.0,0.3,107.0,-1.3,110.0,1.7,None,"S. Mitchell (8-9), J. Triano (25-40)",C. Bosh (9.7)
11,Toronto Raptors,2007-08,41,41,.500,2,2.47,90.2,-2.2,110.2,2.7,107.0,-0.5,Lost E. Conf. 1st Rnd.,S. Mitchell (41-41),J. Calderon (10.2)
12,Toronto Raptors,2006-07,47,35,.573,1,0.61,92.6,0.7,107.0,0.5,106.0,-0.5,Lost E. Conf. 1st Rnd.,S. Mitchell (47-35),C. Bosh (9.6)
13,Toronto Raptors,2005-06,27,55,.329,4,-3.03,91.1,0.6,109.5,3.3,112.7,6.5,None,S. Mitchell (27-55),C. Bosh (9.8)
14,Toronto Raptors,2004-05,33,49,.402,4,-1.81,92.7,1.8,106.9,0.8,108.7,2.6,None,S. Mitchell (33-49),C. Bosh (6.8)
15,Toronto Raptors,2003-04,33,49,.402,6,-3.42,86.8,-3.3,97.0,-5.9,100.4,-2.5,None,K. O'Neill (33-49),D. Marshall (9.8)
16,Toronto Raptors,2002-03,24,58,.293,7,-6.10,89.9,-1.1,100.5,-3.1,107.0,3.4,None,L. Wilkens (24-58),A. Williams (5.5)
17,Toronto Raptors,2001-02,42,40,.512,3,-0.71,88.8,-1.9,102.6,-1.9,103.1,-1.4,Lost E. Conf. 1st Rnd.,L. Wilkens (42-40),V. Carter (7.0)
18,Toronto Raptors,2000-01,47,35,.573,2,1.69,90.9,-0.4,105.9,2.9,103.4,0.4,Lost E. Conf. Semis,L. Wilkens (47-35),V. Carter (12.9)
19,Toronto Raptors,1999-00,45,37,.549,3,-0.46,92.5,-0.6,104.7,0.6,104.9,0.8,Lost E. Conf. 1st Rnd.,B. Carter (45-37),V. Carter (11.8)
20,Toronto Raptors,1998-99,23,27,.460,6,-1.32,88.8,-0.1,102.0,-0.2,103.9,1.7,None,B. Carter (23-27),V. Carter (5.0)
21,Toronto Raptors,1997-98,16,66,.195,8,-8.33,92.6,2.3,101.2,-3.8,111.0,6.0,None,"D. Walker (11-38), B. Carter (5-28)",D. Christie (4.0)
22,Toronto Raptors,1996-97,30,52,.366,8,-2.56,90.6,0.5,104.6,-2.1,108.0,1.3,None,D. Walker (30-52),D. Stoudamire (7.6)
